"Pais","Region","fecha","idEmail","TotalRecipients","bounce","SuccessfulRecipients","uniqueOpens","OpenRate","uniqueClicks","consideracion","satisfaccion","anio","mes","dia","nombreDia","mesNombre"
"Haiti","Caribe",2015-12-22,"EAuL11946zDjJ910",42,15,27,22,0.81,26,1,8,2015,12,22,"Martes","Diciembre"
"Haiti","Caribe",2015-02-27,"EAuL11949cPgG27",65,15,50,22,0.44,15,3,7,2015,2,27,"Viernes","Febrero"
"Islas_Caiman","Caribe",2016-02-24,"EAuL11961nJgG810",33,10,23,18,0.78,25,2,3,2016,2,24,"Miércoles","Febrero"
"Haiti","Caribe",2016-03-10,"EAuL12170nHcC1010",38,15,23,21,0.91,11,4,2,2016,3,10,"Jueves","Marzo"
"Guadalupe","Caribe",2015-11-22,"EAuL11853iIbB46",69,19,50,26,0.52,14,2,2,2015,11,22,"Domingo","Noviembre"
"Curazao","Caribe",2015-03-07,"EAuL11970rTmM21",21,8,13,10,0.77,20,4,5,2015,3,7,"Sábado","Marzo"
"Curazao","Caribe",2016-01-05,"EAuL12161kWoO109",121,43,78,50,0.64,7,4,9,2016,1,5,"Martes","Enero"
"San_Martín","Caribe",2016-06-26,"EAuL11903uSjJ82",43,17,26,22,0.85,4,3,10,2016,6,26,"Domingo","Junio"
"Santa_Lucía","Caribe",2015-07-09,"EAuL11982eUkK72",107,41,66,49,0.74,20,2,8,2015,7,9,"Jueves","Julio"
"San_Martín","Caribe",2015-10-27,"EAuL12068vIbB22",72,31,41,37,0.9,5,2,5,2015,10,27,"Martes","Octubre"
"Haiti","Caribe",2016-07-11,"EAuL12078cSfF53",36,7,29,9,0.31,29,4,7,2016,7,11,"Lunes","Julio"
"San_Martín","Caribe",2015-01-07,"EAuL12059rEhH71",88,30,58,36,0.62,24,5,9,2015,1,7,"Miércoles","Enero"
"Guadalupe","Caribe",2016-09-28,"EAuL12117sZgG49",53,17,36,22,0.61,30,4,2,2016,9,28,"Miércoles","Septiembre"
"Guadalupe","Caribe",2016-02-13,"EAuL11816fYgG66",48,15,33,22,0.67,1,1,7,2016,2,13,"Sábado","Febrero"
"Barbados","Caribe",2015-05-16,"EAuL12172xUaA510",53,19,34,26,0.76,14,3,1,2015,5,16,"Sábado","Mayo"
